SummitCode,SummitName,Lat,Lon,AltM,DEM_AltM,abs_diff,dem_source
JA/SN-182,Takamaruyama,34.9823,132.2877,353.0,352.89,0.11000000000001364,5a
JA/SN-183,Tochiyamadake,34.7725,132.0049,345.0,344.62,0.37999999999999545,5a
JA/SN-184,Kiyomizu,35.0897,132.3779,337.0,335.6,1.3999999999999773,5a
JA/SN-185,Jyouhirasan,35.3517,132.86279,316.0,313.5,2.5,5a
JA/SN-186,Wagarisho,36.0556,132.9839,289.0,288.43,0.5699999999999932,5a
JA/SN-187,Tashiroyama,34.6099,131.776,282.0,282.49,0.4900000000000091,5a
JA/SN-188,Kouyasan,34.9628,132.19881,281.0,280.26,0.7400000000000091,5a
JA/SN-189,Gendayamanishimine,34.7604,131.9039,270.0,273.73,3.730000000000018,5a
JA/SN-190,JA/SN-190,35.5662,133.2718,260.0,261.55,1.5500000000000114,10b
JA/SN-191,Washizuyama,35.3879,133.3038,258.0,256.8,1.1999999999999886,5a
JA/SN-192,Matengai,36.1066,132.9725,257.0,256.69,0.3100000000000023,5a
JA/SN-193,Koguwashiyama,36.1875,133.2963,252.0,245.05,6.949999999999989,5a
JA/SN-194,Yagami,35.0098,132.26759,251.0,250.45,0.5500000000000114,5a
JA/SN-195,Murogamiyama,35.0262,132.2628,246.0,246.01,0.009999999999990905,5a
JA/SN-196,Atodoyama,36.0959,133.0722,246.0,243.2,2.8000000000000114,5a
JA/SN-197,Higashiyougai,35.3315,132.78419,237.0,236.77,0.22999999999998977,5a
JA/SN-198,Iinoyama,36.192,133.3165,236.0,235.89,0.11000000000001364,5a
JA/SN-199,Tadayama,36.0928,133.11391,226.0,225.94,0.060000000000002274,5a
JA/SN-200,Kinbusen,36.2001,133.34731,199.0,198.46,0.539999999999992,5a
JA/SN-201,Maniso,35.566,133.1631,172.0,170.36,1.6399999999999864,10b
JA/SN-202,Chausuyama,35.4361,133.09399,171.0,170.5,0.5,5a
JA/SN-203,Oomorijima,36.138,133.1749,155.0,154.14,0.8600000000000136,5a
JA/SO-001,Fujisan Kengamine,35.3606,138.7274,3776.0,3771.31,4.690000000000055,5a
JA/SO-002,Warusawadake,35.5007,138.1823,3141.0,3142.35,1.349999999999909,5a
JA/SO-003,Akaishidake,35.4612,138.15739,3121.0,3119.82,1.1799999999998363,5a
JA/SO-004,Arakawadake (Nakadake),35.4966,138.1671,3083.0,3082.74,0.2600000000002183,5a
JA/SO-005,Noutoridake (Nishinoutoridake),35.6247,138.2303,3051.0,3048.12,2.880000000000109,5a
JA/SO-006,Shiomidake,35.5738,138.18311,3047.0,3046.99,0.010000000000218279,5a
JA/SO-007,Hijiridake (Maehijiridake),35.4225,138.13969,3013.0,3010.44,2.5599999999999454,5a
JA/SO-008,Kamikouchidake,35.3896,138.1528,2803.0,2803.32,0.3200000000001637,5a
JA/SO-009,Kogouchidake,35.5378,138.15289,2802.0,2792.15,9.849999999999909,5a
JA/SO-010,Tekaridake,35.3382,138.0838,2591.0,2590.8,0.1999999999998181,5a
JA/SO-011,Ikeguchidake,35.3302,138.0383,2392.0,2379.5,12.5,5a
JA/SO-012,Shinanomata,35.307,138.0983,2332.0,2323.75,8.25,5a
JA/SO-013,Daimugenzan,35.256,138.16161,2329.0,2331.51,2.5100000000002183,5a
JA/SO-014,Nakanooneyama,35.2942,138.0181,2296.0,2296.74,0.7399999999997817,5a
JA/SO-015,Oonezawayama,35.2833,138.13741,2240.0,2243.45,3.449999999999818,5a
JA/SO-016,Fudougatake,35.2354,138.04111,2171.0,2171.95,0.9499999999998181,5a
JA/SO-017,Kuroboushigatake,35.1962,138.0294,2067.0,2069.57,2.5700000000001637,5a
JA/SO-018,Yanbushi,35.3043,138.28529,2010.0,2012.28,2.2799999999999727,5a
JA/SO-019,Kenashiyama,35.4158,138.5439,1964.0,1962.04,1.9600000000000364,5a
JA/SO-020,Maekuroboushidake,35.1873,138.0701,1943.0,1943.2,0.20000000000004547,5a
JA/SO-021,Asahidake,35.2069,138.13229,1827.0,1827.6,0.599999999999909,5a
JA/SO-022,Maekuroboushiyama,35.1947,137.9856,1782.0,1781.36,0.6400000000001,5a
JA/SO-023,Sasayama,35.2682,138.2764,1763.0,1761.95,1.0499999999999545,5a
JA/SO-024,Syonosawayama,35.2586,138.07899,1750.0,1750.33,0.32999999999992724,5a
JA/SO-025,Sobatsubuyama,35.1261,138.0354,1627.0,1627.1,0.09999999999990905,5a
JA/SO-026,Nanatsumine,35.1566,138.2189,1533.0,1532.47,0.5299999999999727,5a
JA/SO-027,Ashitakayama (Echizendake),35.2381,138.79401,1504.0,1503.41,0.5899999999999181,5a
JA/SO-028,Ryuumagatake,35.1,138.0105,1501.0,1500.25,0.75,5a
JA/SO-029,Ihaidake,35.2238,138.80991,1458.0,1456.45,1.5499999999999545,5a
JA/SO-030,Amagisan (Banzaburoudake),34.8629,139.0018,1405.0,1404.47,0.5299999999999727,5a
JA/SO-031,Oohorayama,35.3896,138.89191,1384.0,1382.89,1.1099999999999,5a
JA/SO-032,Aokuzuretougehigashi,35.2546,137.91879,1368.0,1361.37,6.630000000000109,5a
JA/SO-033,Tenguishidake,35.1368,138.1841,1366.0,1366.19,0.19000000000005457,5a
JA/SO-034,Ryuutouzan,35.0693,137.88229,1352.0,1351.72,0.2799999999999727,5a
JA/SO-035,Idoguchiyama,35.1211,137.8968,1335.0,1334.82,0.18000000000006366,5a
JA/SO-036,Mitsumine,35.1778,138.16721,1294.0,1292.81,1.1900000000000546,5a
JA/SO-037,Niouyama,35.22,138.3231,1208.0,1207.61,0.39000000000010004,5a
JA/SO-038,Tougasayama,34.8789,139.0325,1197.0,1195.41,1.5899999999999181,5a
JA/SO-040,Takadokkyou,35.1785,138.438,1134.0,1133.48,0.5199999999999818,5a
JA/SO-041,JA/SO-041,35.0613,138.1499,1110.0,1111.15,1.150000000000091,5a
JA/SO-042,Kashiyama,35.0435,137.8134,1059.0,1057.8,1.2000000000000455,5a
JA/SO-043,Ryuusouzan,35.0883,138.4035,1051.0,1049.89,1.1099999999999,5a
JA/SO-044,JA/SO-044,35.0132,137.7722,1050.0,1048.22,1.7799999999999727,5a
JA/SO-045,Mitsukiyama,35.1598,138.3485,1047.0,1046.39,0.6099999999999,5a
JA/SO-046,Ootanayama,35.091,138.30611,1035.0,1022.64,12.360000000000014,5a
JA/SO-047,Nekkodake,34.8578,138.86369,1035.0,1033.46,1.5399999999999636,5a
JA/SO-048,Tossakiyama,35.0784,138.2766,1022.0,1019.54,2.4600000000000364,5a
JA/SO-049,JA/SO-049,34.9959,138.0316,1009.0,1006.91,2.090000000000032,5a
JA/SO-050,Chyoukurouyama,34.7884,138.868,996.0,995.72,0.2799999999999727,5a
JA/SO-051,Darumayama,34.955,138.8391,982.0,975.98,6.019999999999982,5a
JA/SO-052,JA/SO-052,35.1331,137.8269,956.0,952.74,3.259999999999991,5a
JA/SO-053,Heijinodan,35.1775,138.478,940.0,945.18,5.17999999999995,5a
JA/SO-054,Dainichisan,34.9383,138.006,881.0,880.09,0.9099999999999682,5a
JA/SO-055,Takanesan,34.9798,138.183,871.0,862.89,8.110000000000014,5a
JA/SO-056,Kashiyama,35.0226,138.1875,869.0,864.93,4.07000000000005,5a
JA/SO-057,Houkigiyama,34.9816,137.74969,841.0,839.82,1.17999999999995,5a
JA/SO-058,JA/SO-058,35.0094,138.2009,834.0,835.16,1.1599999999999682,5a
JA/SO-059,Hakkousan,34.9074,138.05659,832.0,829.41,2.590000000000032,5a
JA/SO-060,JA/SO-060,35.1183,137.8394,810.0,812.47,2.4700000000000273,5a
JA/SO-061,Kurotake,35.0817,139.02811,798.0,798.4,0.39999999999997726,5a
JA/SO-063,Tenshiko,35.2933,138.5172,731.0,730.06,0.9400000000000546,5a
JA/SO-064,JA/SO-064,34.9646,138.11659,720.0,728.28,8.279999999999973,5a
JA/SO-065,Takayama,35.0511,138.31779,717.0,716.04,0.9600000000000364,5a
JA/SO-066,Wotoyama,34.9561,137.7648,714.0,713.85,0.14999999999997726,5a
JA/SO-067,JA/SO-067,35.0035,137.7009,710.0,710.6,0.6000000000000227,5a
JA/SO-068,Hamaishidake,35.1201,138.53349,707.0,706.22,0.7799999999999727,5a
JA/SO-069,Kasabutayama,34.8173,138.7943,703.0,701.82,1.17999999999995,5a
JA/SO-070,Bodaisan,34.9415,138.1602,691.0,690.19,0.8099999999999454,5a
JA/SO-071,Kasahariyama,34.9539,138.183,690.0,688.23,1.7699999999999818,5a
JA/SO-072,Yumiharisan,34.9329,137.6508,679.0,678.16,0.8400000000000318,5a
